index,Item Type,Serving Size,Calories,fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),carbs,Dietary Fiber (g),Total Sugars (g),Added Sugars (g),protein,Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Table Type,as_of,Drink Type,oz_int,Total Fat_calories,Total Carb_calories,Protein_calories,calc_cals,Total Fat_pct,Total Carb_pct,Protein_pct,cals_match
18,Mocha Swirl Iced Macchiato with Whole Milk - Small,16 oz.,180.0,4.5,2.5,0.0,10.0,85.0,32.0,1.0,29.0,23.0,5.0,2.0,431.0,153.0,1.0,Iced Macchiato,12-15-2022,iced,16,40.5,128.0,20.0,188.5,21.49,67.9,10.61,True
0,Iced Green Tea Sweetened - Large,32 oz.,140.0,0.0,0.0,0.0,0.0,15.0,33.0,0.0,33.0,33.0,1.0,0.0,49.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,132.0,4.0,136.0,0.0,97.06,2.94,True
0,Iced Green Tea Sweetened - Medium,24 oz.,100.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,25.0,25.0,1.0,0.0,36.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,100.0,4.0,104.0,0.0,96.15,3.85,True
1,Iced Green Tea Sweetened - Small,16 oz.,70.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,16.0,16.0,1.0,0.0,24.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,64.0,4.0,68.0,0.0,94.12,5.88,True
2,Iced Green Tea Unsweetened - Large,32 oz.,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,0.0,4.0,4.0,0.0,0.0,100.0,True
3,Iced Green Tea Unsweetened - Medium,24 oz.,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,0.0,4.0,4.0,0.0,0.0,100.0,True
4,Iced Green Tea Unsweetened - Small,16 oz.,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,0.0,4.0,4.0,0.0,0.0,100.0,True
5,Iced Tea Sweetened - Large,32 oz.,140.0,0.0,0.0,0.0,0.0,25.0,35.0,0.0,33.0,33.0,0.0,0.0,213.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,140.0,0.0,140.0,0.0,100.0,0.0,True
6,Iced Tea Sweetened - Medium,24 oz.,100.0,0.0,0.0,0.0,0.0,20.0,26.0,0.0,25.0,25.0,0.0,0.0,159.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,104.0,0.0,104.0,0.0,100.0,0.0,True
7,Iced Tea Sweetened - Small,16 oz.,70.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,16.0,16.0,0.0,0.0,107.0,5.0,0.0,Iced Tea,12-15-2022,iced,16,0.0,68.0,0.0,68.0,0.0,100.0,0.0,True
8,Iced Tea Sweetened Blueberry Flavored Tea - Large,32 oz.,150.0,0.0,0.0,0.0,0.0,25.0,38.0,0.0,33.0,33.0,0.0,0.0,199.0,10.0,0.0,Iced Tea,12-15-2022,iced,32,0.0,152.0,0.0,152.0,0.0,100.0,0.0,True
9,Iced Tea Sweetened Blueberry Flavored Tea - Medium,24 oz.,110.0,0.0,0.0,0.0,0.0,20.0,28.0,0.0,25.0,25.0,0.0,0.0,149.0,6.0,0.0,Iced Tea,12-15-2022,iced,24,0.0,112.0,0.0,112.0,0.0,100.0,0.0,True
